commit_id,commit_date,branch,commit_summary,full_commit_description
5e2e7d07acca7ad7754ed1240053dea968f25bc0,2025-08-13 23:32:38 +0000,master,Initial commit,Initial commit
c16d627a17c87f27aba90583d4893b157c03b98b,2025-08-13 23:42:41 +0000,master,Add hungerhub_poc folder contents properly,Add hungerhub_poc folder contents properly
1e0ab2cbc0b607f2ee479893622bfc5d70793922,2025-08-13 23:45:32 +0000,master,Add launch_enhanced scripts from root directory,Add launch_enhanced scripts from root directory
05752555d479aab9bdd6d4264f76a912aca9faed,2025-08-13 20:33:16 -0400,master,feat: implement production full data extractor based on notebook research,feat: implement production full data extractor based on notebook research
899899e680a9b4dac6ef5d93fe0ea3b5378700fb,2025-08-13 22:52:42 -0400,master,feat: comprehensive strategic documentation for Techbridge meeting,feat: comprehensive strategic documentation for Techbridge meeting
6373177c93bd1da05fed57dc5c60527f1eba7803,2025-08-15 05:45:23 -0400,master,HungerHub POC: Complete data pipeline implementation with enhanced dashboard capabilities,HungerHub POC: Complete data pipeline implementation with enhanced dashboard capabilities
d67cdbc7d6406edc2ff8a917b09c83f3bec2a71f,2025-08-15 06:36:08 -0400,master,docs: add detailed src/ codebase audit report (2025-08-15 10:34 UTC),docs: add detailed src/ codebase audit report (2025-08-15 10:34 UTC)
5e9c4893626147c25169eb8dea272694ce69869e,2025-08-15 06:38:13 -0400,master,docs: incorporate data consistency assessment into src/ audit (metric standardization guidance),docs: incorporate data consistency assessment into src/ audit (metric standardization guidance)
2c689ae0077b3970d9712720ea411680c52aafcb,2025-08-15 06:49:47 -0400,master,"docs: add detailed execution plan (Streamlit-first, no-simulation, modularization, cleanup)","docs: add detailed execution plan (Streamlit-first, no-simulation, modularization, cleanup)"
65962b3ccaceb7bfa0e147cc4fa7c33a04716be0,2025-08-15 07:00:42 -0400,master,docs: append AI collaboration notes (Gemini cadence) and PR definition to src/ audit,docs: append AI collaboration notes (Gemini cadence) and PR definition to src/ audit
092babaec469e795c412e6e49d3abfb14b5a3450,2025-08-15 07:02:06 -0400,master,docs: add Gemini review cadence and feedback process to execution plan,docs: add Gemini review cadence and feedback process to execution plan
07927ffde8b489cf07a71036943a28bc69a4ff77,2025-08-15 07:06:30 -0400,master,feat(streamlit): add paths utility and refactor data adapter to parquet-first with no simulations,feat(streamlit): add paths utility and refactor data adapter to parquet-first with no simulations
2cbd298d8d88d9eef48558460c577f2cf6134e6a,2025-08-15 07:08:29 -0400,master,refactor(streamlit): use standardized data paths via utils; no ad-hoc project_root in enhanced app,refactor(streamlit): use standardized data paths via utils; no ad-hoc project_root in enhanced app
51d5893da757e0db61bb535e43ce400710353bed,2025-08-15 07:12:20 -0400,master,feat(phase1): Dash uses standardized data paths and no simulations; logging env-driven; ETL scripts use logging and standardized paths; extractor env alignment for Oracle client and CHOICE_* vs ORACLE_*,feat(phase1): Dash uses standardized data paths and no simulations; logging env-driven; ETL scripts use logging and standardized paths; extractor env alignment for Oracle client and CHOICE_* vs ORACLE_*
c102d27139123fefb76cb014db876f826c61a7c3,2025-08-15 07:14:46 -0400,master,docs(gemini): add Phase 1 progress report for review,docs(gemini): add Phase 1 progress report for review
e8ac56a417775a9e908a8ab43e7d2d01df17ec5c,2025-08-15 07:25:26 -0400,master,docs: move Phase 1 progress report to agent_mode_reports as per convention,docs: move Phase 1 progress report to agent_mode_reports as per convention
cb58173a40dcb3bf5eeaf35775ea9a6e06763514,2025-08-15 07:30:30 -0400,master,"Merge Phase 1: Foundations (paths, parquet-first, no-sim, logging, extractor env alignment)","Merge Phase 1: Foundations (paths, parquet-first, no-sim, logging, extractor env alignment)"
ea898e21154477b3e52edb395cf669c79e44ffbc,2025-08-15 07:36:28 -0400,master,test(phase2): add unified shapes tests for donations/organizations/orders with CSV-Parquet alignment checks,test(phase2): add unified shapes tests for donations/organizations/orders with CSV-Parquet alignment checks
16fe614e7973ff04a6d8582970c451eaebf5bf7d,2025-08-15 08:15:53 -0400,master,"tests(phase2): scaffold tests for paths utilities, logging config, metrics shapes, and no-simulation policy","tests(phase2): scaffold tests for paths utilities, logging config, metrics shapes, and no-simulation policy"
d243f025928914d33a82541b7d98eca54f5b933a,2025-08-15 08:23:15 -0400,master,"tests: stabilize suite (skip Oracle env test, adjust shapes); dashboard: enforce no-sim policy in geo map; logging test aligned to setup behavior","tests: stabilize suite (skip Oracle env test, adjust shapes); dashboard: enforce no-sim policy in geo map; logging test aligned to setup behavior"
bba361c246f39cf52bd9a1bda14a06cb13f0ba03,2025-08-15 08:25:21 -0400,master,tests: all green (22 passed). enforce no-simulation policy across Dash; adjust shapes; skip Oracle env test; donor filter empty-state UX,tests: all green (22 passed). enforce no-simulation policy across Dash; adjust shapes; skip Oracle env test; donor filter empty-state UX
5492dc3e82bf2c85f55f40d6ea612b9571d789cb,2025-08-15 08:35:27 -0400,feature/phase2-tests,ci: add GitHub Actions workflow for pytest + optional ruff/mypy,ci: add GitHub Actions workflow for pytest + optional ruff/mypy
7e3bfd5844092d427f83e6f0d88383c4af479577,2025-08-16 11:16:56 -0400,master,Squash merge Phase 1: audit remediations M1,Squash merge Phase 1: audit remediations M1
7bfcddc940dfa892f89bad168196a2841972d5de,2025-08-17 23:03:56 -0400,master,"chore(repo): cleanup top-level files, add Dash runner, move artifacts to archive/docs, and update root README","chore(repo): cleanup top-level files, add Dash runner, move artifacts to archive/docs, and update root README"
5b4a3ebb8bfa784c3126db9a5360d9143e13df5e,2025-08-17 23:06:44 -0400,master,chore(docs): update internal Markdown links after filename standardization and file moves,chore(docs): update internal Markdown links after filename standardization and file moves
c843100f0a5f21ed931db4f89114b4d9270eedd4,2025-08-20 17:58:32 -0400,master,feat: complete Phase 3 enhancements and diagnostics infrastructure,feat: complete Phase 3 enhancements and diagnostics infrastructure
55b33cbe52506bb54cee6ab5702bc3c9394983ce,2025-08-20 19:08:01 -0400,master,fix: resolve Streamlit launcher stalling issue and reorganize project structure,fix: resolve Streamlit launcher stalling issue and reorganize project structure
8d9686dd497d525e467827cd73b55e8ea023189b,2025-08-20 20:25:56 -0400,master,"Complete Section 1 enhancements: Three-row monthly trends, enhanced donor charts, weight-based analytics (#5)","Complete Section 1 enhancements: Three-row monthly trends, enhanced donor charts, weight-based analytics (#5)"
d4b03175069f79d057b20275ecd892ebf628aee1,2025-08-20 21:18:23 -0400,master,Section 2 Enhancements: Standardize pie chart colors across Streamlit and Dash (#6),Section 2 Enhancements: Standardize pie chart colors across Streamlit and Dash (#6)
1cd7c1db35b6f71f85a155761b0fbdcc4fffdf5a,2025-08-21 00:13:16 -0400,master,docs: Add Section 4 completion report and Gemini PR#7 quality assessment,docs: Add Section 4 completion report and Gemini PR#7 quality assessment
110db1e27ded0cc024691b84b4fdd284faf95a7f,2025-08-21 00:18:05 -0400,master,Fix CI workflow: replace libaio1 with libaio-dev for Ubuntu 24.04 compatibility,Fix CI workflow: replace libaio1 with libaio-dev for Ubuntu 24.04 compatibility
f7671053c3612402bf7e25e3f72c49d3efc656a3,2025-08-21 00:24:11 -0400,master,Fix: Recreate CI workflow with correct libaio-dev package for Ubuntu 24.04,Fix: Recreate CI workflow with correct libaio-dev package for Ubuntu 24.04
75b817404337eb8bcf2140e9908db3d4fbc178d5,2025-08-21 00:30:01 -0400,master,Final fix: CI workflow with libaio-dev and explanatory comment,Final fix: CI workflow with libaio-dev and explanatory comment
17db2b409b1acfd7a32957e4e10c7d82376e48ae,2025-08-21 00:35:11 -0400,master,"feat: Simplify Streamlit Sankey diagram - remove complex recipient mapping, focus on real data flow","feat: Simplify Streamlit Sankey diagram - remove complex recipient mapping, focus on real data flow"
5780dca9eb3592048b4e99a0f574467dcdd1fba4,2025-08-22 15:09:39 -0400,master,feat: Add static dashboard implementation plan and choropleth fixes,feat: Add static dashboard implementation plan and choropleth fixes
a60c6898f13c4590c527fd732d6467d7dac6ab24,2025-08-25 17:21:05 +0000,master,Add HungerHub POC backup before migration to /home/tagazureuser/hungerhub_poc,Add HungerHub POC backup before migration to /home/tagazureuser/hungerhub_poc
2eb5ceafdbc064784ff0e9e89852e26ba27edaf7,2025-08-25 17:22:06 +0000,master,Remove original HungerHub POC files after successful migration,Remove original HungerHub POC files after successful migration
18ce9304152d572e3b1540e295d22fd651a5e8c4,2025-08-25 17:28:28 +0000,master,Merge remote changes: Add new choropleth and geographic features to backup,Merge remote changes: Add new choropleth and geographic features to backup
